日期,多空仓位,多头仓位,打分,隔日涨跌
2-6-2017,-1,0,1,-0.0034
2-7-2017,-1,0,4,0.0056
2-8-2017,0,0,5,0.0026
2-9-2017,0,0,5,0.0051
2-10-2017,1,0,8,0.0051
2-13-2017,1,1,6,-0.0034
2-14-2017,-1,1,3,-0.0004
2-15-2017,0,0,5,0.0013
2-16-2017,-1,0,3,-0.0046
2-17-2017,0,0,5,0.0144
2-20-2017,-1,0,1,-0.0008
2-21-2017,0,0,5,0.0013
2-22-2017,0,0,5,-0.0038
2-23-2017,-1,0,4,-0.0008
2-24-2017,-1,0,3,-0.0075
2-27-2017,1,0,8,0.0004
2-28-2017,-1,1,4,0
3-1-2017,-1,0,4,-0.0063
3-2-2017,1,0,6,-0.0042
3-3-2017,1,1,6,0.0026
3-6-2017,-1,1,4,0.0021
3-7-2017,1,0,8,0.0004
3-8-2017,1,1,6,-0.0051
3-9-2017,1,1,10,-0.0034
3-10-2017,0,1,5,0.0086
3-13-2017,-1,0,4,-0.0017
3-14-2017,-1,0,4,0.0013
3-15-2017,-1,0,3,0.0064
3-16-2017,1,0,6,-0.011
3-17-2017,0,1,5,0.0017
3-20-2017,-1,0,3,0.0026
3-21-2017,0,0,5,-0.0072
3-22-2017,-1,0,3,0.0034
3-23-2017,1,0,6,0.0085
3-24-2017,-1,1,3,-0.0017
3-27-2017,0,0,5,-0.0025
3-28-2017,-1,0,0,-0.0008
3-29-2017,-1,0,3,-0.0038
3-30-2017,-1,0,3,0.0055
3-31-2017,1,0,8,0.011
4-5-2017,1,1,8,0.0008
4-6-2017,1,1,6,0
4-7-2017,0,1,5,-0.0029
4-10-2017,-1,0,4,0.0004
4-11-2017,-1,0,3,-0.0017
4-12-2017,1,0,9,-0.0029
4-13-2017,-1,1,1,-0.0072
4-14-2017,0,0,5,0.0013
4-17-2017,-1,0,2,-0.0064
4-18-2017,-1,0,2,-0.0068
4-19-2017,-1,0,2,0.0039
4-20-2017,0,0,5,0.0043
4-21-2017,0,0,5,-0.0021
4-24-2017,1,0,7,0.0026
4-25-2017,1,1,10,-0.0013
4-26-2017,1,1,6,0.0021
4-27-2017,-1,1,3,-0.0017
